Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023090,2008,10,04,17.3,1,Y
IDCJAC0010,023090,2008,10,05,22.8,1,Y
IDCJAC0010,023090,2008,10,06,,,
IDCJAC0010,023090,2008,10,07,16.4,1,N
IDCJAC0010,023090,2008,10,08,18.1,1,Y
IDCJAC0010,023090,2008,10,09,21.1,1,Y
IDCJAC0010,023090,2008,10,10,26.6,1,Y
IDCJAC0010,023090,2008,10,11,29.1,1,Y
IDCJAC0010,023090,2008,10,12,31.9,1,Y
IDCJAC0010,023090,2008,10,13,19.0,1,Y
IDCJAC0010,023090,2008,10,14,18.4,1,Y
IDCJAC0010,023090,2008,10,15,19.8,1,Y
IDCJAC0010,023090,2008,10,16,25.5,1,Y
IDCJAC0010,023090,2008,10,17,31.0,1,Y
IDCJAC0010,023090,2008,10,18,34.6,1,Y
IDCJAC0010,023090,2008,10,19,22.2,1,Y
IDCJAC0010,023090,2008,10,20,20.7,1,Y
IDCJAC0010,023090,2008,10,21,20.3,1,Y
IDCJAC0010,023090,2008,10,22,20.7,1,Y
IDCJAC0010,023090,2008,10,23,26.6,1,Y
IDCJAC0010,023090,2008,10,24,30.9,1,Y
IDCJAC0010,023090,2008,10,25,34.7,1,Y
IDCJAC0010,023090,2008,10,26,23.7,1,Y
IDCJAC0010,023090,2008,10,27,20.1,1,Y
IDCJAC0010,023090,2008,10,28,24.1,1,Y
IDCJAC0010,023090,2008,10,29,26.8,1,Y
IDCJAC0010,023090,2008,10,30,29.8,1,Y
IDCJAC0010,023090,2008,10,31,18.1,1,Y
IDCJAC0010,023090,2008,11,01,26.2,1,Y
IDCJAC0010,023090,2008,11,02,26.3,1,Y
IDCJAC0010,023090,2008,11,03,21.2,1,Y
IDCJAC0010,023090,2008,11,04,25.9,1,Y
IDCJAC0010,023090,2008,11,05,23.9,1,Y
IDCJAC0010,023090,2008,11,06,29.5,1,Y
IDCJAC0010,023090,2008,11,07,22.5,1,Y
IDCJAC0010,023090,2008,11,08,19.0,1,Y
IDCJAC0010,023090,2008,11,09,22.7,1,Y
IDCJAC0010,023090,2008,11,10,28.6,1,Y
IDCJAC0010,023090,2008,11,11,34.5,1,Y
IDCJAC0010,023090,2008,11,12,36.6,1,Y
IDCJAC0010,023090,2008,11,13,26.2,1,Y
IDCJAC0010,023090,2008,11,14,20.7,1,Y
IDCJAC0010,023090,2008,11,15,20.2,1,Y
IDCJAC0010,023090,2008,11,16,23.0,1,Y
IDCJAC0010,023090,2008,11,17,27.8,1,Y
IDCJAC0010,023090,2008,11,18,22.2,1,Y
IDCJAC0010,023090,2008,11,19,25.1,1,Y
IDCJAC0010,023090,2008,11,20,20.5,1,Y
IDCJAC0010,023090,2008,11,21,19.9,1,Y
IDCJAC0010,023090,2008,11,22,17.1,1,Y
IDCJAC0010,023090,2008,11,23,22.3,1,Y
IDCJAC0010,023090,2008,11,24,28.3,1,Y
IDCJAC0010,023090,2008,11,25,31.5,1,Y
IDCJAC0010,023090,2008,11,26,27.9,1,Y
IDCJAC0010,023090,2008,11,27,25.2,1,Y
IDCJAC0010,023090,2008,11,28,20.3,1,Y
IDCJAC0010,023090,2008,11,29,21.0,1,Y
IDCJAC0010,023090,2008,11,30,25.2,1,Y
IDCJAC0010,023090,2008,12,01,21.3,1,Y
IDCJAC0010,023090,2008,12,02,23.2,1,Y
IDCJAC0010,023090,2008,12,03,23.8,1,Y
IDCJAC0010,023090,2008,12,04,25.0,1,Y
IDCJAC0010,023090,2008,12,05,23.2,1,Y
IDCJAC0010,023090,2008,12,06,23.1,1,Y
IDCJAC0010,023090,2008,12,07,20.8,1,Y
IDCJAC0010,023090,2008,12,08,29.3,1,Y
IDCJAC0010,023090,2008,12,09,26.2,1,Y
IDCJAC0010,023090,2008,12,10,28.0,1,Y
IDCJAC0010,023090,2008,12,11,29.3,1,Y
IDCJAC0010,023090,2008,12,12,20.7,1,Y
IDCJAC0010,023090,2008,12,13,19.8,1,Y
IDCJAC0010,023090,2008,12,14,20.4,1,Y
IDCJAC0010,023090,2008,12,15,24.3,1,Y
IDCJAC0010,023090,2008,12,16,25.9,1,Y
IDCJAC0010,023090,2008,12,17,29.3,1,Y
IDCJAC0010,023090,2008,12,18,22.6,1,Y
IDCJAC0010,023090,2008,12,19,24.1,1,Y
IDCJAC0010,023090,2008,12,20,30.5,1,Y
IDCJAC0010,023090,2008,12,21,34.5,1,Y
IDCJAC0010,023090,2008,12,22,24.8,1,Y
IDCJAC0010,023090,2008,12,23,27.0,1,Y
IDCJAC0010,023090,2008,12,24,30.1,1,Y
IDCJAC0010,023090,2008,12,25,30.8,1,Y
IDCJAC0010,023090,2008,12,26,33.6,1,Y
IDCJAC0010,023090,2008,12,27,25.3,1,Y
IDCJAC0010,023090,2008,12,28,24.3,1,Y
IDCJAC0010,023090,2008,12,29,22.8,1,Y
IDCJAC0010,023090,2008,12,30,23.1,1,Y
IDCJAC0010,023090,2008,12,31,23.3,1,Y
